VARIABLE_NAME,VARIABLE_VALUE
INNODB_FLUSH_SYNC,ON
DEADLOCK_TIMEOUT_LONG,50000000
WSREP_GTID_MODE,OFF
WSREP_OSU_METHOD,TOI
INNODB_OPEN_FILES,2000
DEBUG_NO_THREAD_ALARM,OFF
STORAGE_ENGINE,MyISAM
TCP_NODELAY,ON
SYNC_MASTER_INFO,10000
SKIP_NAME_RESOLVE,OFF
INNODB_DEADLOCK_DETECT,ON
SLAVE_DOMAIN_PARALLEL_THREADS,0
INNODB_FT_MAX_TOKEN_SIZE,84
INNODB_SNAPSHOT_ISOLATION,OFF
INNODB_FT_SERVER_STOPWORD_TABLE,<blank>
INNODB_FT_ENABLE_DIAG_PRINT,OFF
OPTIMIZER_JOIN_LIMIT_PREF_RATIO,0
HAVE_SYMLINK,DISABLED
INNODB_DEFRAGMENT_FILL_FACTOR,0.900000
INNODB_DEFRAGMENT_N_PAGES,7
BASEDIR,/usr/
INNODB_FLUSH_NEIGHBORS,1
SECURE_TIMESTAMP,NO
SSL_KEY,<blank>
INNODB_LOG_FILE_SIZE,268435456
WSREP_MAX_WS_SIZE,2147483647
MYISAM_REPAIR_THREADS,1
TX_ISOLATION,REPEATABLE-READ
WSREP_RECOVER,OFF
ARIA_PAGECACHE_FILE_HASH_SIZE,512
GTID_CLEANUP_BATCH_SIZE,64
JOIN_CACHE_LEVEL,2
WSREP_RESTART_SLAVE,OFF
REPLICATE_IGNORE_TABLE,<blank>
MAX_SEEKS_FOR_KEY,4294967295
READ_BINLOG_SPEED_LIMIT,0
KEY_CACHE_SEGMENTS,0
INNODB_CHECKSUM_ALGORITHM,full_crc32
QUERY_CACHE_MIN_RES_UNIT,4096
ARIA_LOG_PURGE_TYPE,immediate
LOG_BIN,OFF
MYSQL56_TEMPORAL_FORMAT,ON
REPLICATE_WILD_IGNORE_TABLE,<blank>
THREAD_POOL_EXACT_STATS,OFF
WSREP_SR_STORE,table
DEADLOCK_TIMEOUT_SHORT,10000
LARGE_PAGE_SIZE,0
WSREP_DESYNC,OFF
READ_RND_BUFFER_SIZE,8388608
SESSION_TRACK_STATE_CHANGE,OFF
TIME_ZONE,SYSTEM
ARIA_LOG_FILE_SIZE,1073741824
INNODB_VERSION,10.6.21
OPTIMIZER_SEARCH_DEPTH,62
INNODB_TABLE_LOCKS,ON
TCP_KEEPALIVE_TIME,0
INNODB_FORCE_PRIMARY_KEY,OFF
READ_ONLY,OFF
RELAY_LOG_PURGE,ON
INNODB_FLUSH_METHOD,O_DIRECT
INNODB_FT_TOTAL_CACHE_SIZE,640000000
INNODB_DATA_FILE_PATH,ibdata1:12M:autoextend
OPTIMIZER_MAX_SEL_ARGS,16000
INNODB_FAST_SHUTDOWN,0
IDLE_TRANSACTION_TIMEOUT,0
WSREP_DIRTY_READS,OFF
UNIQUE_CHECKS,ON

