READ_ONLY,GLOBAL_VALUE,DEFAULT_VALUE,SESSION_VALUE,VARIABLE_NAME,VARIABLE_TYPE,VARIABLE_SCOPE,ENUM_VALUE_LIST,VARIABLE_COMMENT,GLOBAL_VALUE_PATH,NUMERIC_MAX_VALUE,NUMERIC_MIN_VALUE,NUMERIC_BLOCK_SIZE,GLOBAL_VALUE_ORIGIN,COMMAND_LINE_ARGUMENT
NO,en_US,en_US,en_US,LC_MESSAGES,ENUM,SESSION,NULL,Set the language used for the error messages,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,4294967295,4294967295,NULL,INNODB_MAX_PURGE_LAG_WAIT,INT UNSIGNED,GLOBAL,NULL,Wait until History list length is below the specified limit,NULL,4294967295,0,0,COMPILE-TIME,REQUIRED
NO,0,0,0,MAX_SP_RECURSION_DEPTH,BIGINT UNSIGNED,SESSION,NULL,Maximum stored procedure recursion depth,NULL,255,0,1,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,OFF,SQL_BUFFER_RESULT,BOOLEAN,SESSION,"OFF,ON","If set to 1 (0 is default), results from SELECT statements are always placed into temporary tables. This can help the server when it takes a long time to send the results to the client by allowing the table locks to be freed early.",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,0,0,NULL,INNODB_MAX_PURGE_LAG_DELAY,BIGINT UNSIGNED,GLOBAL,NULL,Maximum delay of user threads in micro-seconds,NULL,10000000,0,0,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,INNODB_BUFFER_POOL_DUMP_NOW,BOOLEAN,GLOBAL,"OFF,ON",Trigger an immediate dump of the buffer pool into a file named @@innodb_buffer_pool_filename,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,ON,ON,ON,LOG_SLOW_ADMIN_STATEMENTS,BOOLEAN,SESSION,"OFF,ON","Log slow OPTIMIZE, ANALYZE, ALTER and other administrative statements to the slow log if it is open.  Resets or sets the option 'admin' in log_slow_disabled_statements",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,30,30,NULL,INNODB_SYNC_SPIN_LOOPS,BIGINT UNSIGNED,GLOBAL,NULL,Count of spin-loop rounds in InnoDB mutexes (30 by default),NULL,18446744073709551615,0,0,COMPILE-TIME,REQUIRED
NO,16777216,16777216,16777216,MAX_HEAP_TABLE_SIZE,BIGINT UNSIGNED,SESSION,NULL,Don't allow creation of heap tables bigger than this,NULL,18446744073709551615,16384,1024,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,INNODB_STATUS_OUTPUT,BOOLEAN,GLOBAL,"OFF,ON",Enable InnoDB monitor output to the error log.,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,100,100,NULL,KEY_CACHE_DIVISION_LIMIT,BIGINT UNSIGNED,GLOBAL,NULL,The minimum percentage of warm blocks in key cache,NULL,100,1,1,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,INNODB_UNDO_LOG_TRUNCATE,BOOLEAN,GLOBAL,"OFF,ON",Enable or Disable Truncate of UNDO tablespace.,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,NULL,INNODB_ADAPTIVE_HASH_INDEX,BOOLEAN,GLOBAL,"OFF,ON",Enable InnoDB adaptive hash index (disabled by default).,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,60,60,60,NET_WRITE_TIMEOUT,BIGINT UNSIGNED,SESSION,NULL,Number of seconds to wait for a block to be written to a connection before aborting the write,NULL,31536000,1,1,COMPILE-TIME,REQUIRED
NO,NULL,0,284259,PSEUDO_THREAD_ID,BIGINT UNSIGNED,SESSION ONLY,NULL,This variable is for internal server use,NULL,4294967295,0,1,COMPILE-TIME,NULL
NO,256,256,NULL,STORED_PROGRAM_CACHE,BIGINT UNSIGNED,GLOBAL,NULL,The soft upper limit for number of cached stored routines for one connection.,NULL,524288,0,1,COMPILE-TIME,REQUIRED
NO,ON,ON,ON,CHECK_CONSTRAINT_CHECKS,BOOLEAN,SESSION,"OFF,ON",check_constraint_checks,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,OFF,OFF,NULL,LOG_BIN_COMPRESS,BOOLEAN,GLOBAL,"OFF,ON",Whether the binary log can be compressed,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,full,full,NULL,INNODB_DEADLOCK_REPORT,ENUM,GLOBAL,"off,basic,full",How to report deadlocks (if innodb_deadlock_detect=ON).,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,"index_merge=on,index_merge_union=on,index_merge_sort_union=on,index_merge_intersection=on,index_merge_sort_intersection=off,engine_condition_pushdown=off,index_condition_pushdown=on,derived_merge=on,derived_with_keys=on,firstmatch=on,loosescan=on,materialization=on,in_to_exists=on,semijoin=on,partial_match_rowid_merge=on,partial_match_table_scan=on,subquery_cache=on,mrr=off,mrr_cost_based=off,mrr_sort_keys=off,outer_join_with_cache=on,semijoin_with_cache=on,join_cache_incremental=on,join_cache_hashed=on,join_cache_bka=on,optimize_join_buffer_size=on,table_elimination=on,extended_keys=on,exists_to_in=on,orderby_uses_equalities=on,condition_pushdown_for_derived=on,split_materialized=on,condition_pushdown_for_subquery=on,rowid_filter=on,condition_pushdown_from_having=on,not_null_range_scan=off,hash_join_cardinality=off,cset_narrowing=off","index_merge=on,index_merge_union=on,index_merge_sort_union=on,index_merge_intersection=on,index_merge_sort_intersection=off,engine_condition_pushdown=off,index_condition_pushdown=on,derived_merge=on,derived_with_keys=on,firstmatch=on,loosescan=on,materialization=on,in_to_exists=on,semijoin=on,partial_match_rowid_merge=on,partial_match_table_scan=on,subquery_cache=on,mrr=off,mrr_cost_based=off,mrr_sort_keys=off,outer_join_with_cache=on,semijoin_with_cache=on,join_cache_incremental=on,join_cache_hashed=on,join_cache_bka=on,optimize_join_buffer_size=on,table_elimination=on,extended_keys=on,exists_to_in=on,orderby_uses_equalities=on,condition_pushdown_for_derived=on,split_materialized=on,condition_pushdown_for_subquery=on,rowid_filter=on,condition_pushdown_from_having=on,not_null_range_scan=off,hash_join_cardinality=off,cset_narrowing=off","index_merge=on,index_merge_union=on,index_merge_sort_union=on,index_merge_intersection=on,index_merge_sort_intersection=off,engine_condition_pushdown=off,index_condition_pushdown=on,derived_merge=on,derived_with_keys=on,firstmatch=on,loosescan=on,materialization=on,in_to_exists=on,semijoin=on,partial_match_rowid_merge=on,partial_match_table_scan=on,subquery_cache=on,mrr=off,mrr_cost_based=off,mrr_sort_keys=off,outer_join_with_cache=on,semijoin_with_cache=on,join_cache_incremental=on,join_cache_hashed=on,join_cache_bka=on,optimize_join_buffer_size=on,table_elimination=on,extended_keys=on,exists_to_in=on,orderby_uses_equalities=on,condition_pushdown_for_derived=on,split_materialized=on,condition_pushdown_for_subquery=on,rowid_filter=on,condition_pushdown_from_having=on,not_null_range_scan=off,hash_join_cardinality=off,cset_narrowing=off",OPTIMIZER_SWITCH,FLAGSET,SESSION,"index_merge,index_merge_union,index_merge_sort_union,index_merge_intersection,index_merge_sort_intersection,engine_condition_pushdown,index_condition_pushdown,derived_merge,derived_with_keys,firstmatch,loosescan,materialization,in_to_exists,semijoin,partial_match_rowid_merge,partial_match_table_scan,subquery_cache,mrr,mrr_cost_based,mrr_sort_keys,outer_join_with_cache,semijoin_with_cache,join_cache_incremental,join_cache_hashed,join_cache_bka,optimize_join_buffer_size,table_elimination,extended_keys,exists_to_in,orderby_uses_equalities,condition_pushdown_for_derived,split_materialized,condition_pushdown_for_subquery,rowid_filter,condition_pushdown_from_having,not_null_range_scan,hash_join_cardinality,cset_narrowing,default",Fine-tune the optimizer behavior,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,9223372036854775807,9223372036854775807,9223372036854775807,MAX_SESSION_MEM_USED,BIGINT UNSIGNED,SESSION,NULL,Amount of memory a single user session is allowed to allocate. This limits the value of the session variable MEM_USED,NULL,18446744073709551615,8192,1,COMPILE-TIME,REQUIRED
NO,1000,1000,NULL,DELAYED_QUEUE_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,"What size queue (in rows) should be allocated for handling INSERT DELAYED. If the queue becomes full, any client that does INSERT DELAYED will wait until there is room in the queue again",NULL,4294967295,1,1,COMPILE-TIME,REQUIRED
NO,1024,1024,1024,MAX_LENGTH_FOR_SORT_DATA,BIGINT UNSIGNED,SESSION,NULL,Max number of bytes in sorted records,NULL,8388608,4,1,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,INNODB_DISABLE_SORT_FILE_CACHE,BOOLEAN,GLOBAL,"OFF,ON",Whether to disable OS system file cache for sort I/O,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,NULL,FLUSH,BOOLEAN,GLOBAL,"OFF,ON",Flush MyISAM tables to disk between SQL commands,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,100,100,NULL,INNODB_ENCRYPTION_ROTATION_IOPS,INT UNSIGNED,GLOBAL,NULL,Use this many iops for background key rotation,NULL,4294967295,0,0,COMPILE-TIME,REQUIRED
NO,binary,binary,binary,CHARACTER_SET_FILESYSTEM,ENUM,SESSION,NULL,The filesystem character set,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,rsync,rsync,NULL,WSREP_SST_METHOD,VARCHAR,GLOBAL,NULL,State snapshot transfer method,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,18446744073709547520,18446744073709547520,NULL,MAX_BINLOG_CACHE_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,Sets the total size of the transactional cache,NULL,18446744073709551615,4096,4096,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,INNODB_PRINT_ALL_DEADLOCKS,BOOLEAN,GLOBAL,"OFF,ON",Print all deadlocks to MariaDB error log (off by default),NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,ON,ON,NULL,INNODB_STATS_TRADITIONAL,BOOLEAN,GLOBAL,"OFF,ON",Enable traditional statistic calculation based on number of configured pages (default true),NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,4,4,4,OPTIMIZER_USE_CONDITION_SELECTIVITY,BIGINT UNSIGNED,SESSION,NULL,"Controls selectivity of which conditions the optimizer takes into account to calculate cardinality of a partial join when it searches for the best execution plan Meaning: 1 - use selectivity of index backed range conditions to calculate the cardinality of a partial join if the last joined table is accessed by full table scan or an index scan, 2 - use selectivity of index backed range conditions to calculate the cardinality of a partial join in any case, 3 - additionally always use selectivity of range conditions that are not backed by any index to calculate the cardinality of a partial join, 4 - use histograms to calculate selectivity of range conditions that are not backed by any index to calculate the cardinality of a partial join.5 - additionally use selectivity of certain non-range predicates calculated on record samples",NULL,5,1,1,COMPILE-TIME,REQUIRED
NO,DEFAULT_STRATEGY,DEFAULT_STRATEGY,DEFAULT_STRATEGY,COLUMN_COMPRESSION_ZLIB_STRATEGY,ENUM,SESSION,"DEFAULT_STRATEGY,FILTERED,HUFFMAN_ONLY,RLE,FIXED","The strategy parameter is used to tune the compression algorithm. Use the value DEFAULT_STRATEGY for normal data, FILTERED for data produced by a filter (or predictor), HUFFMAN_ONLY to force Huffman encoding only (no string match), or RLE to limit match distances to one (run-length encoding). Filtered data consists mostly of small values with a somewhat random distribution. In this case, the compression algorithm is tuned to compress them better. The effect of FILTERED is to force more Huffman coding and less string matching; it is somewhat intermediate between DEFAULT_STRATEGY and HUFFMAN_ONLY. RLE is designed to be almost as fast as HUFFMAN_ONLY, but give better compression for PNG image data. The strategy parameter only affects the compression ratio but not the correctness of the compressed output even if it is not set appropriately. FIXED prevents the use of dynamic Huffman codes, allowing for a simpler decoder for special applications.",NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,1024,1024,1024,MAX_SORT_LENGTH,BIGINT UNSIGNED,SESSION,NULL,The number of bytes to use when sorting BLOB or TEXT values (only the first max_sort_length bytes of each value are used; the rest are ignored),NULL,8388608,64,1,COMPILE-TIME,REQUIRED
NO,sp,sp,sp,LOG_SLOW_DISABLED_STATEMENTS,SET,SESSION,"admin,call,slave,sp",Don't log certain types of statements to slow log,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,90.000000,90.000000,NULL,INNODB_MAX_DIRTY_PAGES_PCT,DOUBLE,GLOBAL,NULL,Percentage of dirty pages allowed in bufferpool.,NULL,99.999,0,NULL,COMPILE-TIME,REQUIRED
NO,4294967296,134217728,NULL,KEY_BUFFER_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,The size of the buffer used for index blocks for MyISAM tables. Increase this to get better index handling (for all reads and multiple writes) to as much as you can afford,NULL,18446744073709551615,0,4096,CONFIG,REQUIRED
NO,add_drop_reorder,add_drop_reorder,NULL,INNODB_INSTANT_ALTER_COLUMN_ALLOWED,ENUM,GLOBAL,"never,add_last,add_drop_reorder",File format constraint for ALTER TABLE,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,AUTO,AUTO,NULL,CONCURRENT_INSERT,ENUM,GLOBAL,"NEVER,AUTO,ALWAYS",Use concurrent insert with MyISAM,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,NULL,OFF,OFF,PSEUDO_SLAVE_MODE,BOOLEAN,SESSION ONLY,"OFF,ON","SET pseudo_slave_mode= 0,1 are commands that mysqlbinlog adds to beginning and end of binary log dumps. While zero value indeed disables, the actual enabling of the slave applier execution mode is done implicitly when a Format_description_event is sent through the session.",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,OFF,OFF,OFF,OLD,BOOLEAN,SESSION,"OFF,ON",Use compatible behavior from previous MariaDB version. See also --old-mode,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,10000,10000,NULL,SYNC_RELAY_LOG,INT UNSIGNED,GLOBAL,NULL,Synchronously flush relay log to disk after every #th event. Use 0 to disable synchronous flushing,NULL,4294967295,0,1,COMPILE-TIME,REQUIRED
NO,16777216,1048576,NULL,QUERY_CACHE_LIMIT,BIGINT UNSIGNED,GLOBAL,NULL,Don't cache results that are bigger than this,NULL,4294967295,0,1,CONFIG,REQUIRED
NO,1,1,1,INNODB_DEFAULT_ENCRYPTION_KEY_ID,INT UNSIGNED,SESSION,NULL,Default encryption key id used for table encryption.,NULL,4294967295,1,0,COMPILE-TIME,REQUIRED
NO,DEFAULT,<blank>,DEFAULT,SYSTEM_VERSIONING_ASOF,VARCHAR,SESSION,NULL,Default value for the FOR SYSTEM_TIME AS OF clause,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,10485760,10485760,NULL,INNODB_MAX_UNDO_LOG_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,Desired maximum UNDO tablespace size in bytes,NULL,281474976710656,10485760,0,COMPILE-TIME,OPTIONAL
NO,<blank>,NULL,NULL,GTID_SLAVE_POS,VARCHAR,GLOBAL,NULL,"The list of global transaction IDs that were last replicated on the server, one for each replication domain.",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,131072,131072,131072,MAX_ROWID_FILTER_SIZE,BIGINT UNSIGNED,SESSION,NULL,The maximum size of the container of a rowid filter,NULL,18446744073709551615,1024,1,COMPILE-TIME,REQUIRED
NO,60,60,NULL,SLAVE_NET_TIMEOUT,INT UNSIGNED,GLOBAL,NULL,Number of seconds to wait for more data from any master/slave connection before aborting the read,NULL,31536000,1,1,COMPILE-TIME,REQUIRED
NO,auto,auto,auto,THREAD_POOL_PRIORITY,ENUM,SESSION,"high,low,auto","Threadpool priority. High priority connections usually start executing earlier than low priority.If priority set to 'auto', the the actual priority(low or high) is determined based on whether or not connection is inside transaction.",NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,DISCONNECT_ON_EXPIRED_PASSWORD,BOOLEAN,GLOBAL,"OFF,ON","This variable controls how the server handles clients that are not aware of the sandbox mode. If enabled, the server disconnects the client, otherwise the server puts the client in a sandbox mode.",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,5,5,NULL,RPL_SEMI_SYNC_SLAVE_KILL_CONN_TIMEOUT,INT UNSIGNED,GLOBAL,NULL,Timeout for the mysql connection used to kill the slave io_thread's connection on master. This timeout comes into play when stop slave is executed.,NULL,4294967295,0,1,COMPILE-TIME,OPTIONAL
NO,10.000000,10.000000,NULL,INNODB_ADAPTIVE_FLUSHING_LWM,DOUBLE,GLOBAL,NULL,Percentage of log capacity below which no adaptive flushing happens.,NULL,70,0,NULL,COMPILE-TIME,REQUIRED
NO,1073741824,1073741824,NULL,SLAVE_MAX_ALLOWED_PACKET,BIGINT UNSIGNED,GLOBAL,NULL,The maximum packet length to sent successfully from the master to slave.,NULL,1073741824,1024,1024,COMPILE-TIME,REQUIRED
NO,40,40,NULL,INNODB_DEFRAGMENT_FREQUENCY,INT UNSIGNED,GLOBAL,NULL,"Do not defragment a single index more than this number of time per second.This controls the number of time defragmentation thread can request X_LOCK on an index. Defragmentation thread will check whether 1/defragment_frequency (s) has passed since it worked on this index last time, and put the index back to the queue if not enough time has passed. The actual frequency can only be lower than this given number.",NULL,1000,1,0,COMPILE-TIME,REQUIRED
NO,OFF,OFF,OFF,SQL_WARNINGS,BOOLEAN,SESSION,"OFF,ON","If set to 1, single-row INSERTs will produce a string containing warning information if a warning occurs.",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,33554432,1048576,NULL,QUERY_CACHE_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,The memory allocated to store results from old queries,NULL,18446744073709551615,0,1024,CONFIG,REQUIRED
NO,ON,ON,NULL,STRICT_PASSWORD_VALIDATION,BOOLEAN,GLOBAL,"OFF,ON","When password validation plugins are enabled, reject passwords that cannot be validated (passwords specified as a hash)",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,ON,OFF,ON,QUERY_CACHE_TYPE,ENUM,SESSION,"OFF,ON,DEMAND",OFF = Don't cache or retrieve results. ON = Cache all results except SELECT SQL_NO_CACHE ... queries. DEMAND = Cache only SELECT SQL_CACHE ... queries,NULL,NULL,NULL,NULL,CONFIG,REQUIRED
NO,OFF,OFF,NULL,RELAY_LOG_RECOVERY,BOOLEAN,GLOBAL,"OFF,ON","Enables automatic relay log recovery right after the database startup, which means that the IO Thread starts re-fetching from the master right after the last transaction processed.",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,1073741824,1073741824,1073741824,MAX_RELAY_LOG_SIZE,BIGINT UNSIGNED,SESSION,NULL,"relay log will be rotated automatically when the size exceeds this value.  If 0 at startup, it's set to max_binlog_size",NULL,1073741824,4096,4096,AUTO,REQUIRED
NO,0,0,NULL,WSREP_GTID_DOMAIN_ID,INT UNSIGNED,GLOBAL,NULL,"When wsrep_gtid_mode is set, this value is used as gtid_domain_id for galera transactions and also copied to the joiner nodes during state transfer. It is ignored, otherwise.",NULL,4294967295,0,1,COMPILE-TIME,REQUIRED
NO,500,500,NULL,THREAD_POOL_STALL_LIMIT,INT UNSIGNED,GLOBAL,NULL,"Maximum query execution time in milliseconds,before an executing non-yielding thread is considered stalled.If a worker thread is stalled, additional worker thread may be created to handle remaining clients.",NULL,4294967295,1,1,COMPILE-TIME,REQUIRED
NO,100000,100000,NULL,BINLOG_COMMIT_WAIT_USEC,BIGINT UNSIGNED,GLOBAL,NULL,"Maximum time, in microseconds, to wait for more commits to queue up for binlog group commit. Only takes effect if the value of binlog_commit_wait_count is non-zero.",NULL,18446744073709551615,0,1,COMPILE-TIME,REQUIRED
NO,2097152,131072,2097152,READ_BUFFER_SIZE,BIGINT UNSIGNED,SESSION,NULL,"Each thread that does a sequential scan allocates a buffer of this size for each table it scans. If you do many sequential scans, you may want to increase this value",NULL,2147483647,8192,4096,CONFIG,REQUIRED
NO,OFF,OFF,OFF,TX_READ_ONLY,BOOLEAN,SESSION,"OFF,ON","Default transaction access mode. If set to OFF, the default, access is read/write. If set to ON, access is read-only. The SET TRANSACTION statement can also change the value of this variable. See SET TRANSACTION and START TRANSACTION.",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,OFF,OFF,OFF,QUERY_CACHE_WLOCK_INVALIDATE,BOOLEAN,SESSION,"OFF,ON",Invalidate queries in query cache on LOCK for write,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,NULL,INNODB_RANDOM_READ_AHEAD,BOOLEAN,GLOBAL,"OFF,ON",Whether to use read ahead for random access within an extent.,NULL,NULL,NULL,NULL,COMPILE-TIME,NONE
NO,0,0,NULL,TCP_KEEPALIVE_PROBES,INT,GLOBAL,NULL,"The number of unacknowledged probes to send before considering the connection dead and notifying the application layer.If set to 0, system dependent default is used.",NULL,2147483,0,1,COMPILE-TIME,REQUIRED
NO,0,0,0,MIN_EXAMINED_ROW_LIMIT,BIGINT UNSIGNED,SESSION,NULL,Don't write queries to slow log that examine fewer rows than that,NULL,4294967295,0,1,COMPILE-TIME,REQUIRED
NO,latin1_swedish_ci,latin1_swedish_ci,latin1_swedish_ci,COLLATION_SERVER,ENUM,SESSION,NULL,The server default collation,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,OFF,OFF,NULL,LOG_BIN_TRUST_FUNCTION_CREATORS,BOOLEAN,GLOBAL,"OFF,ON","If set to FALSE (the default), then when --log-bin is used, creation of a stored function (or trigger) is allowed only to users having the SUPER privilege and only if this stored function (trigger) may not break binary logging. Note that if ALL connections to this server ALWAYS use row-based binary logging, the security issues do not exist and the binary logging cannot break, so you can safely set this to TRUE",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,0,0,NULL,FLUSH_TIME,BIGINT UNSIGNED,GLOBAL,NULL,A dedicated thread is created to flush all tables at the given interval,NULL,31536000,0,1,COMPILE-TIME,REQUIRED
NO,<blank>,<blank>,NULL,INNODB_MONITOR_DISABLE,VARCHAR,GLOBAL,NULL,Turn off a monitor counter,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,32,32,NULL,RPL_SEMI_SYNC_MASTER_TRACE_LEVEL,BIGINT UNSIGNED,GLOBAL,NULL,The tracing level for semi-sync replication.,NULL,18446744073709551615,0,1,COMPILE-TIME,REQUIRED
NO,18446744073709547520,18446744073709547520,NULL,MAX_BINLOG_STMT_CACHE_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,Sets the total size of the statement cache,NULL,18446744073709551615,4096,4096,COMPILE-TIME,REQUIRED
NO,65536,65536,NULL,THREAD_POOL_MAX_THREADS,INT UNSIGNED,GLOBAL,NULL,Maximum allowed number of worker threads in the thread pool,NULL,65536,1,1,COMPILE-TIME,REQUIRED
NO,0,0,0,SQL_SLAVE_SKIP_COUNTER,BIGINT UNSIGNED,SESSION,NULL,Skip the next N events from the master log,NULL,4294967295,0,1,COMPILE-TIME,NULL
NO,4,4,NULL,INNODB_SPIN_WAIT_DELAY,INT UNSIGNED,GLOBAL,NULL,Maximum delay between polling for a spin lock (4 by default),NULL,6000,0,0,COMPILE-TIME,OPTIONAL
NO,DEFAULT,DEFAULT,DEFAULT,OLD_ALTER_TABLE,ENUM,SESSION,"DEFAULT,COPY,INPLACE,NOCOPY,INSTANT",Alias for alter_algorithm. Deprecated. Use --alter-algorithm instead.,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,NULL,INNODB_STATS_INCLUDE_DELETE_MARKED,BOOLEAN,GLOBAL,"OFF,ON",Include delete marked records when calculating persistent statistics,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,0,0,NULL,INNODB_DEFRAGMENT_STATS_ACCURACY,INT UNSIGNED,GLOBAL,NULL,How many defragment stats changes there are before the stats are written to persistent storage. Set to 0 meaning disable defragment stats tracking.,NULL,4294967295,0,0,COMPILE-TIME,REQUIRED
NO,16777216,16777216,16777216,TMP_TABLE_SIZE,BIGINT UNSIGNED,SESSION,NULL,"Alias for tmp_memory_table_size. If an internal in-memory temporary table exceeds this size, MariaDB will automatically convert it to an on-disk MyISAM or Aria table.",NULL,18446744073709551615,0,16384,COMPILE-TIME,REQUIRED
NO,50,50,50,INNODB_LOCK_WAIT_TIMEOUT,INT UNSIGNED,SESSION,NULL,Timeout in seconds an InnoDB transaction may wait for a lock before being rolled back. The value 100000000 is infinite timeout.,NULL,100000000,0,0,COMPILE-TIME,REQUIRED
NO,1,1,1,OPTIMIZER_PRUNE_LEVEL,BIGINT UNSIGNED,SESSION,NULL,"Controls the heuristic(s) applied during query optimization to prune less-promising partial plans from the optimizer search space. Meaning: 0 - do not apply any heuristic, thus perform exhaustive search; 1 - prune plans based on number of retrieved rows",NULL,1,0,1,COMPILE-TIME,REQUIRED
NO,1000,1000,NULL,INNODB_OLD_BLOCKS_TIME,INT UNSIGNED,GLOBAL,NULL,Move blocks to the 'new' end of the buffer pool if the first access was at least this many milliseconds ago. The timeout is disabled if 0.,NULL,4294967295,0,0,COMPILE-TIME,REQUIRED
NO,0,0,NULL,BINLOG_COMMIT_WAIT_COUNT,BIGINT UNSIGNED,GLOBAL,NULL,"If non-zero, binlog write will wait at most binlog_commit_wait_usec microseconds for at least this many commits to queue up for group commit to the binlog. This can reduce I/O on the binlog and provide increased opportunity for parallel apply on the slave, but too high a value will decrease commit throughput.",NULL,18446744073709551615,0,1,COMPILE-TIME,REQUIRED
NO,NULL,0,0,WSREP_GTID_SEQ_NO,BIGINT UNSIGNED,SESSION ONLY,NULL,"Internal server usage, manually set WSREP GTID seqno.",NULL,18446744073709551615,0,1,COMPILE-TIME,NULL
NO,20,20,20,MAX_INSERT_DELAYED_THREADS,BIGINT UNSIGNED,SESSION,NULL,Don't start more than this number of threads to handle INSERT DELAYED statements. If set to zero INSERT DELAYED will be not used,NULL,16384,0,1,COMPILE-TIME,NULL
NO,300,300,NULL,KEY_CACHE_AGE_THRESHOLD,BIGINT UNSIGNED,GLOBAL,NULL,This characterizes the number of hits a hot block has to be untouched until it is considered aged enough to be downgraded to a warm block. This specifies the percentage ratio of that number of hits to the total number of blocks in key cache,NULL,4294967295,100,100,COMPILE-TIME,REQUIRED
NO,ON,ON,NULL,RPL_SEMI_SYNC_MASTER_WAIT_NO_SLAVE,BOOLEAN,GLOBAL,"OFF,ON",Wait until timeout when no semi-synchronous replication slave is available.,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,5,5,NULL,INNODB_COMPRESSION_FAILURE_THRESHOLD_PCT,BIGINT UNSIGNED,GLOBAL,NULL,If the compression failure rate of a table is greater than this number more padding is added to the pages to reduce the failures. A value of zero implies no padding,NULL,100,0,0,COMPILE-TIME,OPTIONAL
NO,ON,ON,ON,LOG_SLOW_SLAVE_STATEMENTS,BOOLEAN,SESSION,"OFF,ON",Log slow statements executed by slave thread to the slow log if it is open. Resets or sets the option 'slave' in log_slow_disabled_statements,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,NULL,THREAD_POOL_DEDICATED_LISTENER,BOOLEAN,GLOBAL,"OFF,ON","If set to 1,listener thread will not pick up queries",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,0,32,NULL,INNODB_LRU_FLUSH_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,Deprecated parameter with no effect,NULL,18446744073709551615,1,0,COMPILE-TIME,NULL
NO,OFF,OFF,OFF,QUERY_CACHE_STRIP_COMMENTS,BOOLEAN,SESSION,"OFF,ON",Strip all comments from a query before storing it in the query cache,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,0,0,NULL,WSREP_MYSQL_REPLICATION_BUNDLE,BIGINT UNSIGNED,GLOBAL,NULL,mysql replication group commit ,NULL,1000,0,1,COMPILE-TIME,REQUIRED
